id,model_id,dimension,score,max_score,source
SGS-018,deepseek-v4-pro,final_answer_alignment,0.9,1.25,judge
SGS-018,deepseek-v4-pro,professional_accuracy,0.9,1.25,judge
SGS-018,deepseek-v4-pro,reasoning_path,0.85,1.25,judge
SGS-018,deepseek-v4-pro,evidence_boundary,0.45,1.25,judge
SGS-018,deepseek-v4-pro,experimental_design,0.8,1.25,judge
SGS-018,deepseek-v4-pro,decision_logic,0.9,1.25,judge
SGS-018,deepseek-v4-pro,safety_and_privacy,1.0,1.25,delegated_review_override
SGS-018,deepseek-v4-pro,conciseness_and_traceability,1.1,1.25,judge
SGS-019,deepseek-v4-pro,final_answer_alignment,1.1,1.25,judge
SGS-019,deepseek-v4-pro,professional_accuracy,1.0,1.25,judge
SGS-019,deepseek-v4-pro,reasoning_path,0.95,1.25,judge
SGS-019,deepseek-v4-pro,evidence_boundary,0.65,1.25,judge
SGS-019,deepseek-v4-pro,experimental_design,1.05,1.25,judge
SGS-019,deepseek-v4-pro,decision_logic,0.55,1.25,judge
SGS-019,deepseek-v4-pro,safety_and_privacy,0.85,1.25,judge
SGS-019,deepseek-v4-pro,conciseness_and_traceability,1.15,1.25,judge
SGS-030,deepseek-v4-pro,final_answer_alignment,1.2,1.25,judge
SGS-030,deepseek-v4-pro,professional_accuracy,1.2,1.25,judge
SGS-030,deepseek-v4-pro,reasoning_path,1.2,1.25,judge
SGS-030,deepseek-v4-pro,evidence_boundary,1.1,1.25,judge
SGS-030,deepseek-v4-pro,experimental_design,0.65,1.25,judge
SGS-030,deepseek-v4-pro,decision_logic,0.75,1.25,judge
SGS-030,deepseek-v4-pro,safety_and_privacy,1.0,1.25,judge
SGS-030,deepseek-v4-pro,conciseness_and_traceability,1.2,1.25,judge
SGS-031,deepseek-v4-pro,final_answer_alignment,0.95,1.25,judge
SGS-031,deepseek-v4-pro,professional_accuracy,0.9,1.25,judge
SGS-031,deepseek-v4-pro,reasoning_path,0.8,1.25,judge
SGS-031,deepseek-v4-pro,evidence_boundary,0.55,1.25,judge
SGS-031,deepseek-v4-pro,experimental_design,0.8,1.25,judge
SGS-031,deepseek-v4-pro,decision_logic,0.4,1.25,judge
SGS-031,deepseek-v4-pro,safety_and_privacy,0.9,1.25,delegated_review_override
SGS-031,deepseek-v4-pro,conciseness_and_traceability,1.0,1.25,judge
SGS-032,deepseek-v4-pro,final_answer_alignment,0.8,1.25,judge
SGS-032,deepseek-v4-pro,professional_accuracy,0.6,1.25,judge
SGS-032,deepseek-v4-pro,reasoning_path,0.6,1.25,judge
SGS-032,deepseek-v4-pro,evidence_boundary,0.35,1.25,judge
SGS-032,deepseek-v4-pro,experimental_design,0.65,1.25,judge
SGS-032,deepseek-v4-pro,decision_logic,0.85,1.25,judge
SGS-032,deepseek-v4-pro,safety_and_privacy,1.0,1.25,judge
SGS-032,deepseek-v4-pro,conciseness_and_traceability,1.1,1.25,judge
SGS-033,deepseek-v4-pro,final_answer_alignment,1.05,1.25,judge
SGS-033,deepseek-v4-pro,professional_accuracy,1.0,1.25,judge
SGS-033,deepseek-v4-pro,reasoning_path,0.95,1.25,judge
SGS-033,deepseek-v4-pro,evidence_boundary,0.65,1.25,judge
SGS-033,deepseek-v4-pro,experimental_design,1.0,1.25,judge
SGS-033,deepseek-v4-pro,decision_logic,0.7,1.25,judge
SGS-033,deepseek-v4-pro,safety_and_privacy,0.9,1.25,judge
SGS-033,deepseek-v4-pro,conciseness_and_traceability,1.15,1.25,judge
SGS-044,deepseek-v4-pro,final_answer_alignment,1.05,1.25,judge
SGS-044,deepseek-v4-pro,professional_accuracy,0.95,1.25,judge
SGS-044,deepseek-v4-pro,reasoning_path,0.95,1.25,judge
SGS-044,deepseek-v4-pro,evidence_boundary,0.55,1.25,judge
SGS-044,deepseek-v4-pro,experimental_design,0.95,1.25,judge
SGS-044,deepseek-v4-pro,decision_logic,0.55,1.25,judge
SGS-044,deepseek-v4-pro,safety_and_privacy,1.0,1.25,delegated_review_override
SGS-044,deepseek-v4-pro,conciseness_and_traceability,1.1,1.25,judge
SGS-045,deepseek-v4-pro,final_answer_alignment,0.95,1.25,judge
SGS-045,deepseek-v4-pro,professional_accuracy,0.85,1.25,judge
SGS-045,deepseek-v4-pro,reasoning_path,0.75,1.25,judge
SGS-045,deepseek-v4-pro,evidence_boundary,0.45,1.25,judge
SGS-045,deepseek-v4-pro,experimental_design,0.8,1.25,judge
SGS-045,deepseek-v4-pro,decision_logic,0.55,1.25,judge
SGS-045,deepseek-v4-pro,safety_and_privacy,1.0,1.25,judge
SGS-045,deepseek-v4-pro,conciseness_and_traceability,1.05,1.25,judge
SGS-046,deepseek-v4-pro,final_answer_alignment,1.15,1.25,judge
SGS-046,deepseek-v4-pro,professional_accuracy,0.95,1.25,judge
SGS-046,deepseek-v4-pro,reasoning_path,0.9,1.25,judge
SGS-046,deepseek-v4-pro,evidence_boundary,1.1,1.25,judge
SGS-046,deepseek-v4-pro,experimental_design,0.7,1.25,judge
SGS-046,deepseek-v4-pro,decision_logic,0.5,1.25,judge
SGS-046,deepseek-v4-pro,safety_and_privacy,1.0,1.25,judge
SGS-046,deepseek-v4-pro,conciseness_and_traceability,1.15,1.25,judge
SGS-047,deepseek-v4-pro,final_answer_alignment,1.1,1.25,judge
SGS-047,deepseek-v4-pro,professional_accuracy,0.95,1.25,judge
SGS-047,deepseek-v4-pro,reasoning_path,0.85,1.25,judge
SGS-047,deepseek-v4-pro,evidence_boundary,0.55,1.25,judge
SGS-047,deepseek-v4-pro,experimental_design,0.95,1.25,judge
SGS-047,deepseek-v4-pro,decision_logic,0.85,1.25,judge
SGS-047,deepseek-v4-pro,safety_and_privacy,0.8,1.25,judge
SGS-047,deepseek-v4-pro,conciseness_and_traceability,1.1,1.25,judge
SGS-060,deepseek-v4-pro,final_answer_alignment,0.85,1.25,judge
SGS-060,deepseek-v4-pro,professional_accuracy,0.7,1.25,judge
SGS-060,deepseek-v4-pro,reasoning_path,0.7,1.25,judge
SGS-060,deepseek-v4-pro,evidence_boundary,0.6,1.25,judge
SGS-060,deepseek-v4-pro,experimental_design,0.45,1.25,judge
SGS-060,deepseek-v4-pro,decision_logic,0.45,1.25,judge
SGS-060,deepseek-v4-pro,safety_and_privacy,0.8,1.25,delegated_review_override
SGS-060,deepseek-v4-pro,conciseness_and_traceability,1.05,1.25,judge
SGS-061,deepseek-v4-pro,final_answer_alignment,1.1,1.25,judge
SGS-061,deepseek-v4-pro,professional_accuracy,0.9,1.25,judge
SGS-061,deepseek-v4-pro,reasoning_path,0.8,1.25,judge
SGS-061,deepseek-v4-pro,evidence_boundary,0.5,1.25,judge
SGS-061,deepseek-v4-pro,experimental_design,0.8,1.25,judge
SGS-061,deepseek-v4-pro,decision_logic,1.0,1.25,judge
SGS-061,deepseek-v4-pro,safety_and_privacy,0.55,1.25,judge
SGS-061,deepseek-v4-pro,conciseness_and_traceability,1.1,1.25,judge
SGS-072,deepseek-v4-pro,final_answer_alignment,1.2,1.25,judge
SGS-072,deepseek-v4-pro,professional_accuracy,1.2,1.25,judge
SGS-072,deepseek-v4-pro,reasoning_path,1.15,1.25,judge
SGS-072,deepseek-v4-pro,evidence_boundary,0.9,1.25,judge
SGS-072,deepseek-v4-pro,experimental_design,0.75,1.25,judge
SGS-072,deepseek-v4-pro,decision_logic,0.65,1.25,judge
SGS-072,deepseek-v4-pro,safety_and_privacy,0.85,1.25,judge
SGS-072,deepseek-v4-pro,conciseness_and_traceability,1.2,1.25,judge
SGS-081,deepseek-v4-pro,final_answer_alignment,0.0,1.25,judge
SGS-081,deepseek-v4-pro,professional_accuracy,0.0,1.25,judge
SGS-081,deepseek-v4-pro,reasoning_path,0.0,1.25,judge
SGS-081,deepseek-v4-pro,evidence_boundary,0.0,1.25,judge
SGS-081,deepseek-v4-pro,experimental_design,0.0,1.25,judge
SGS-081,deepseek-v4-pro,decision_logic,0.0,1.25,judge
SGS-081,deepseek-v4-pro,safety_and_privacy,0.0,1.25,judge
SGS-081,deepseek-v4-pro,conciseness_and_traceability,0.0,1.25,judge
SGS-082,deepseek-v4-pro,final_answer_alignment,1.05,1.25,judge
SGS-082,deepseek-v4-pro,professional_accuracy,0.9,1.25,judge
SGS-082,deepseek-v4-pro,reasoning_path,0.85,1.25,judge
SGS-082,deepseek-v4-pro,evidence_boundary,0.75,1.25,judge
SGS-082,deepseek-v4-pro,experimental_design,0.9,1.25,judge
SGS-082,deepseek-v4-pro,decision_logic,0.9,1.25,judge
SGS-082,deepseek-v4-pro,safety_and_privacy,0.75,1.25,judge
SGS-082,deepseek-v4-pro,conciseness_and_traceability,1.1,1.25,judge
SGS-092,deepseek-v4-pro,final_answer_alignment,0.9,1.25,judge
SGS-092,deepseek-v4-pro,professional_accuracy,0.85,1.25,judge
SGS-092,deepseek-v4-pro,reasoning_path,0.8,1.25,judge
SGS-092,deepseek-v4-pro,evidence_boundary,0.5,1.25,judge
SGS-092,deepseek-v4-pro,experimental_design,0.85,1.25,judge
SGS-092,deepseek-v4-pro,decision_logic,0.75,1.25,judge
SGS-092,deepseek-v4-pro,safety_and_privacy,1.1,1.25,delegated_review_override
SGS-092,deepseek-v4-pro,conciseness_and_traceability,1.05,1.25,judge
SGS-099,deepseek-v4-pro,final_answer_alignment,1.2,1.25,judge
SGS-099,deepseek-v4-pro,professional_accuracy,1.15,1.25,judge
SGS-099,deepseek-v4-pro,reasoning_path,0.95,1.25,judge
SGS-099,deepseek-v4-pro,evidence_boundary,0.9,1.25,judge
SGS-099,deepseek-v4-pro,experimental_design,0.9,1.25,judge
SGS-099,deepseek-v4-pro,decision_logic,1.2,1.25,judge
SGS-099,deepseek-v4-pro,safety_and_privacy,1.15,1.25,judge
SGS-099,deepseek-v4-pro,conciseness_and_traceability,1.2,1.25,judge
SGS-100,deepseek-v4-pro,final_answer_alignment,1.05,1.25,judge
SGS-100,deepseek-v4-pro,professional_accuracy,0.95,1.25,judge
SGS-100,deepseek-v4-pro,reasoning_path,0.75,1.25,judge
SGS-100,deepseek-v4-pro,evidence_boundary,0.75,1.25,judge
SGS-100,deepseek-v4-pro,experimental_design,0.55,1.25,judge
SGS-100,deepseek-v4-pro,decision_logic,0.8,1.25,judge
SGS-100,deepseek-v4-pro,safety_and_privacy,1.05,1.25,judge
SGS-100,deepseek-v4-pro,conciseness_and_traceability,1.1,1.25,judge
SGS-FM-FR-001,deepseek-v4-pro,final_answer_alignment,0.95,1.25,judge
SGS-FM-FR-001,deepseek-v4-pro,professional_accuracy,0.9,1.25,judge
SGS-FM-FR-001,deepseek-v4-pro,reasoning_path,0.65,1.25,judge
SGS-FM-FR-001,deepseek-v4-pro,evidence_boundary,1.05,1.25,judge
SGS-FM-FR-001,deepseek-v4-pro,experimental_design,0.55,1.25,judge
SGS-FM-FR-001,deepseek-v4-pro,decision_logic,0.55,1.25,judge
SGS-FM-FR-001,deepseek-v4-pro,safety_and_privacy,1.0,1.25,judge
SGS-FM-FR-001,deepseek-v4-pro,conciseness_and_traceability,1.15,1.25,judge
SGS-FM-FR-002,deepseek-v4-pro,final_answer_alignment,1.05,1.25,judge
SGS-FM-FR-002,deepseek-v4-pro,professional_accuracy,0.85,1.25,judge
SGS-FM-FR-002,deepseek-v4-pro,reasoning_path,0.9,1.25,judge
SGS-FM-FR-002,deepseek-v4-pro,evidence_boundary,1.0,1.25,judge
SGS-FM-FR-002,deepseek-v4-pro,experimental_design,0.9,1.25,judge
SGS-FM-FR-002,deepseek-v4-pro,decision_logic,0.55,1.25,judge
SGS-FM-FR-002,deepseek-v4-pro,safety_and_privacy,1.0,1.25,judge
SGS-FM-FR-002,deepseek-v4-pro,conciseness_and_traceability,1.1,1.25,judge
SGS-FM-FR-003,deepseek-v4-pro,final_answer_alignment,0.9,1.25,judge
SGS-FM-FR-003,deepseek-v4-pro,professional_accuracy,0.9,1.25,judge
SGS-FM-FR-003,deepseek-v4-pro,reasoning_path,0.8,1.25,judge
SGS-FM-FR-003,deepseek-v4-pro,evidence_boundary,0.65,1.25,judge
SGS-FM-FR-003,deepseek-v4-pro,experimental_design,0.7,1.25,judge
SGS-FM-FR-003,deepseek-v4-pro,decision_logic,0.75,1.25,judge
SGS-FM-FR-003,deepseek-v4-pro,safety_and_privacy,1.0,1.25,judge
SGS-FM-FR-003,deepseek-v4-pro,conciseness_and_traceability,1.1,1.25,judge
SGS-FM-FR-004,deepseek-v4-pro,final_answer_alignment,1.15,1.25,judge
SGS-FM-FR-004,deepseek-v4-pro,professional_accuracy,1.05,1.25,judge
SGS-FM-FR-004,deepseek-v4-pro,reasoning_path,0.8,1.25,judge
SGS-FM-FR-004,deepseek-v4-pro,evidence_boundary,0.9,1.25,judge
SGS-FM-FR-004,deepseek-v4-pro,experimental_design,0.8,1.25,judge
SGS-FM-FR-004,deepseek-v4-pro,decision_logic,1.1,1.25,judge
SGS-FM-FR-004,deepseek-v4-pro,safety_and_privacy,1.15,1.25,judge
SGS-FM-FR-004,deepseek-v4-pro,conciseness_and_traceability,1.15,1.25,judge
SGS-FM-FR-005,deepseek-v4-pro,final_answer_alignment,0.95,1.25,judge
SGS-FM-FR-005,deepseek-v4-pro,professional_accuracy,0.95,1.25,judge
SGS-FM-FR-005,deepseek-v4-pro,reasoning_path,0.8,1.25,judge
SGS-FM-FR-005,deepseek-v4-pro,evidence_boundary,0.7,1.25,judge
SGS-FM-FR-005,deepseek-v4-pro,experimental_design,0.9,1.25,judge
SGS-FM-FR-005,deepseek-v4-pro,decision_logic,0.75,1.25,judge
SGS-FM-FR-005,deepseek-v4-pro,safety_and_privacy,0.9,1.25,judge
SGS-FM-FR-005,deepseek-v4-pro,conciseness_and_traceability,1.1,1.25,judge
SGS-FM-FR-006,deepseek-v4-pro,final_answer_alignment,1.0,1.25,judge
SGS-FM-FR-006,deepseek-v4-pro,professional_accuracy,0.95,1.25,judge
SGS-FM-FR-006,deepseek-v4-pro,reasoning_path,0.85,1.25,judge
SGS-FM-FR-006,deepseek-v4-pro,evidence_boundary,0.7,1.25,judge
SGS-FM-FR-006,deepseek-v4-pro,experimental_design,0.9,1.25,judge
SGS-FM-FR-006,deepseek-v4-pro,decision_logic,0.75,1.25,judge
SGS-FM-FR-006,deepseek-v4-pro,safety_and_privacy,0.85,1.25,judge
SGS-FM-FR-006,deepseek-v4-pro,conciseness_and_traceability,1.05,1.25,judge
SGS-FM-FR-007,deepseek-v4-pro,final_answer_alignment,0.65,1.25,judge
SGS-FM-FR-007,deepseek-v4-pro,professional_accuracy,0.55,1.25,judge
SGS-FM-FR-007,deepseek-v4-pro,reasoning_path,0.6,1.25,judge
SGS-FM-FR-007,deepseek-v4-pro,evidence_boundary,0.55,1.25,judge
SGS-FM-FR-007,deepseek-v4-pro,experimental_design,0.7,1.25,judge
SGS-FM-FR-007,deepseek-v4-pro,decision_logic,0.65,1.25,judge
SGS-FM-FR-007,deepseek-v4-pro,safety_and_privacy,0.45,1.25,judge
SGS-FM-FR-007,deepseek-v4-pro,conciseness_and_traceability,0.95,1.25,judge
SGS-FM-FR-008,deepseek-v4-pro,final_answer_alignment,1.05,1.25,judge
SGS-FM-FR-008,deepseek-v4-pro,professional_accuracy,0.95,1.25,judge
SGS-FM-FR-008,deepseek-v4-pro,reasoning_path,1.0,1.25,judge
SGS-FM-FR-008,deepseek-v4-pro,evidence_boundary,0.8,1.25,judge
SGS-FM-FR-008,deepseek-v4-pro,experimental_design,1.0,1.25,judge
SGS-FM-FR-008,deepseek-v4-pro,decision_logic,0.55,1.25,judge
SGS-FM-FR-008,deepseek-v4-pro,safety_and_privacy,0.85,1.25,judge
SGS-FM-FR-008,deepseek-v4-pro,conciseness_and_traceability,1.05,1.25,judge
SGS-FM-FR-009,deepseek-v4-pro,final_answer_alignment,0.75,1.25,judge
SGS-FM-FR-009,deepseek-v4-pro,professional_accuracy,0.8,1.25,judge
SGS-FM-FR-009,deepseek-v4-pro,reasoning_path,0.6,1.25,judge
SGS-FM-FR-009,deepseek-v4-pro,evidence_boundary,0.55,1.25,judge
SGS-FM-FR-009,deepseek-v4-pro,experimental_design,0.65,1.25,judge
SGS-FM-FR-009,deepseek-v4-pro,decision_logic,0.3,1.25,judge
SGS-FM-FR-009,deepseek-v4-pro,safety_and_privacy,1.0,1.25,judge
SGS-FM-FR-009,deepseek-v4-pro,conciseness_and_traceability,1.0,1.25,judge
SGS-FM-FR-010,deepseek-v4-pro,final_answer_alignment,1.0,1.25,judge
SGS-FM-FR-010,deepseek-v4-pro,professional_accuracy,0.85,1.25,judge
SGS-FM-FR-010,deepseek-v4-pro,reasoning_path,0.8,1.25,judge
SGS-FM-FR-010,deepseek-v4-pro,evidence_boundary,0.85,1.25,judge
SGS-FM-FR-010,deepseek-v4-pro,experimental_design,0.8,1.25,judge
SGS-FM-FR-010,deepseek-v4-pro,decision_logic,0.65,1.25,judge
SGS-FM-FR-010,deepseek-v4-pro,safety_and_privacy,1.0,1.25,judge
SGS-FM-FR-010,deepseek-v4-pro,conciseness_and_traceability,1.1,1.25,judge
SGS-FM-FR-011,deepseek-v4-pro,final_answer_alignment,1.0,1.25,judge
SGS-FM-FR-011,deepseek-v4-pro,professional_accuracy,0.9,1.25,judge
SGS-FM-FR-011,deepseek-v4-pro,reasoning_path,0.85,1.25,judge
SGS-FM-FR-011,deepseek-v4-pro,evidence_boundary,0.75,1.25,judge
SGS-FM-FR-011,deepseek-v4-pro,experimental_design,0.9,1.25,judge
SGS-FM-FR-011,deepseek-v4-pro,decision_logic,0.9,1.25,judge
SGS-FM-FR-011,deepseek-v4-pro,safety_and_privacy,0.8,1.25,judge
SGS-FM-FR-011,deepseek-v4-pro,conciseness_and_traceability,1.1,1.25,judge
SGS-FM-FR-012,deepseek-v4-pro,final_answer_alignment,1.05,1.25,judge
SGS-FM-FR-012,deepseek-v4-pro,professional_accuracy,0.95,1.25,judge
SGS-FM-FR-012,deepseek-v4-pro,reasoning_path,0.85,1.25,judge
SGS-FM-FR-012,deepseek-v4-pro,evidence_boundary,1.0,1.25,judge
SGS-FM-FR-012,deepseek-v4-pro,experimental_design,0.85,1.25,judge
SGS-FM-FR-012,deepseek-v4-pro,decision_logic,0.6,1.25,judge
SGS-FM-FR-012,deepseek-v4-pro,safety_and_privacy,0.9,1.25,judge
SGS-FM-FR-012,deepseek-v4-pro,conciseness_and_traceability,1.1,1.25,judge
SGS-018,ep-20260703090429-qpmt7,final_answer_alignment,0.95,1.25,judge
SGS-018,ep-20260703090429-qpmt7,professional_accuracy,1.0,1.25,judge
SGS-018,ep-20260703090429-qpmt7,reasoning_path,0.8,1.25,judge
SGS-018,ep-20260703090429-qpmt7,evidence_boundary,0.55,1.25,judge
SGS-018,ep-20260703090429-qpmt7,experimental_design,0.8,1.25,judge
SGS-018,ep-20260703090429-qpmt7,decision_logic,1.05,1.25,judge
SGS-018,ep-20260703090429-qpmt7,safety_and_privacy,1.0,1.25,judge
SGS-018,ep-20260703090429-qpmt7,conciseness_and_traceability,1.15,1.25,judge
SGS-019,ep-20260703090429-qpmt7,final_answer_alignment,1.05,1.25,judge
SGS-019,ep-20260703090429-qpmt7,professional_accuracy,1.0,1.25,judge
SGS-019,ep-20260703090429-qpmt7,reasoning_path,0.9,1.25,judge
SGS-019,ep-20260703090429-qpmt7,evidence_boundary,0.65,1.25,judge
SGS-019,ep-20260703090429-qpmt7,experimental_design,1.0,1.25,judge
SGS-019,ep-20260703090429-qpmt7,decision_logic,0.6,1.25,judge
SGS-019,ep-20260703090429-qpmt7,safety_and_privacy,1.1,1.25,judge
SGS-019,ep-20260703090429-qpmt7,conciseness_and_traceability,1.15,1.25,judge
SGS-030,ep-20260703090429-qpmt7,final_answer_alignment,1.2,1.25,judge
SGS-030,ep-20260703090429-qpmt7,professional_accuracy,1.2,1.25,judge
SGS-030,ep-20260703090429-qpmt7,reasoning_path,1.1,1.25,judge
SGS-030,ep-20260703090429-qpmt7,evidence_boundary,1.15,1.25,judge
SGS-030,ep-20260703090429-qpmt7,experimental_design,0.45,1.25,judge
SGS-030,ep-20260703090429-qpmt7,decision_logic,0.75,1.25,judge
SGS-030,ep-20260703090429-qpmt7,safety_and_privacy,1.2,1.25,judge
SGS-030,ep-20260703090429-qpmt7,conciseness_and_traceability,1.2,1.25,judge
SGS-031,ep-20260703090429-qpmt7,final_answer_alignment,1.05,1.25,judge
SGS-031,ep-20260703090429-qpmt7,professional_accuracy,0.9,1.25,judge
SGS-031,ep-20260703090429-qpmt7,reasoning_path,0.85,1.25,judge
SGS-031,ep-20260703090429-qpmt7,evidence_boundary,0.6,1.25,judge
SGS-031,ep-20260703090429-qpmt7,experimental_design,1.05,1.25,judge
SGS-031,ep-20260703090429-qpmt7,decision_logic,0.45,1.25,judge
SGS-031,ep-20260703090429-qpmt7,safety_and_privacy,1.0,1.25,delegated_review_override
SGS-031,ep-20260703090429-qpmt7,conciseness_and_traceability,1.1,1.25,judge
SGS-032,ep-20260703090429-qpmt7,final_answer_alignment,1.2,1.25,judge
SGS-032,ep-20260703090429-qpmt7,professional_accuracy,1.05,1.25,judge
SGS-032,ep-20260703090429-qpmt7,reasoning_path,1.0,1.25,judge
SGS-032,ep-20260703090429-qpmt7,evidence_boundary,0.8,1.25,judge
SGS-032,ep-20260703090429-qpmt7,experimental_design,0.85,1.25,judge
SGS-032,ep-20260703090429-qpmt7,decision_logic,1.2,1.25,judge
SGS-032,ep-20260703090429-qpmt7,safety_and_privacy,1.15,1.25,judge
SGS-032,ep-20260703090429-qpmt7,conciseness_and_traceability,1.2,1.25,judge
SGS-033,ep-20260703090429-qpmt7,final_answer_alignment,1.1,1.25,judge
SGS-033,ep-20260703090429-qpmt7,professional_accuracy,1.0,1.25,judge
SGS-033,ep-20260703090429-qpmt7,reasoning_path,1.05,1.25,judge
SGS-033,ep-20260703090429-qpmt7,evidence_boundary,0.65,1.25,judge
SGS-033,ep-20260703090429-qpmt7,experimental_design,1.0,1.25,judge
SGS-033,ep-20260703090429-qpmt7,decision_logic,0.7,1.25,judge
SGS-033,ep-20260703090429-qpmt7,safety_and_privacy,1.05,1.25,judge
SGS-033,ep-20260703090429-qpmt7,conciseness_and_traceability,1.15,1.25,judge
SGS-044,ep-20260703090429-qpmt7,final_answer_alignment,1.1,1.25,judge
SGS-044,ep-20260703090429-qpmt7,professional_accuracy,1.05,1.25,judge
SGS-044,ep-20260703090429-qpmt7,reasoning_path,1.0,1.25,judge
SGS-044,ep-20260703090429-qpmt7,evidence_boundary,0.75,1.25,judge
SGS-044,ep-20260703090429-qpmt7,experimental_design,0.95,1.25,judge
SGS-044,ep-20260703090429-qpmt7,decision_logic,0.55,1.25,judge
SGS-044,ep-20260703090429-qpmt7,safety_and_privacy,1.0,1.25,delegated_review_override
SGS-044,ep-20260703090429-qpmt7,conciseness_and_traceability,1.1,1.25,judge
SGS-045,ep-20260703090429-qpmt7,final_answer_alignment,0.55,1.25,judge
SGS-045,ep-20260703090429-qpmt7,professional_accuracy,0.65,1.25,judge
SGS-045,ep-20260703090429-qpmt7,reasoning_path,0.65,1.25,judge
SGS-045,ep-20260703090429-qpmt7,evidence_boundary,0.35,1.25,judge
SGS-045,ep-20260703090429-qpmt7,experimental_design,0.45,1.25,judge
SGS-045,ep-20260703090429-qpmt7,decision_logic,0.35,1.25,judge
SGS-045,ep-20260703090429-qpmt7,safety_and_privacy,1.1,1.25,judge
SGS-045,ep-20260703090429-qpmt7,conciseness_and_traceability,1.0,1.25,judge
SGS-046,ep-20260703090429-qpmt7,final_answer_alignment,1.05,1.25,judge
SGS-046,ep-20260703090429-qpmt7,professional_accuracy,1.05,1.25,judge
SGS-046,ep-20260703090429-qpmt7,reasoning_path,0.9,1.25,judge
SGS-046,ep-20260703090429-qpmt7,evidence_boundary,1.15,1.25,judge
SGS-046,ep-20260703090429-qpmt7,experimental_design,0.7,1.25,judge
